open_time,open,high,low,close,volume,close_time
1644350400000,3051.61000000,3138.00000000,3046.31000000,3116.69000000,65504.06330000,1644364799999
1644364800000,3116.69000000,3132.00000000,3060.41000000,3076.52000000,50251.70890000,1644379199999
1644379200000,3076.52000000,3112.61000000,3055.00000000,3105.93000000,41328.14800000,1644393599999
1644393600000,3105.93000000,3158.37000000,3069.00000000,3152.89000000,63183.93530000,1644407999999
1644408000000,3152.89000000,3216.99000000,3140.00000000,3178.45000000,90666.56180000,1644422399999
1644422400000,3178.44000000,3258.00000000,3163.02000000,3246.94000000,74860.45290000,1644436799999
1644436800000,3246.94000000,3269.70000000,3230.83000000,3243.94000000,49977.08440000,1644451199999
1644451200000,3243.60000000,3248.98000000,3170.87000000,3179.60000000,49659.47310000,1644465599999
1644465600000,3179.59000000,3197.12000000,3156.45000000,3189.90000000,47518.88830000,1644479999999
1644480000000,3189.90000000,3283.66000000,3183.62000000,3248.05000000,84462.28000000,1644494399999
1644494400000,3248.05000000,3264.85000000,3085.50000000,3209.91000000,217178.41930000,1644508799999
1644508800000,3209.90000000,3247.90000000,3112.42000000,3121.07000000,106648.30620000,1644523199999
1644523200000,3121.08000000,3140.82000000,3056.74000000,3072.49000000,72745.47140000,1644537599999
1644537600000,3072.36000000,3096.80000000,3001.00000000,3081.08000000,82881.75760000,1644551999999
1644552000000,3080.97000000,3105.39000000,3040.34000000,3098.34000000,51334.45060000,1644566399999
1644566400000,3098.25000000,3115.98000000,3062.56000000,3088.30000000,53992.99530000,1644580799999
1644580800000,3088.30000000,3138.62000000,3079.16000000,3102.93000000,71406.72730000,1644595199999
1644595200000,3102.92000000,3113.33000000,2967.00000000,2992.89000000,103499.54380000,1644609599999
1644609600000,2992.90000000,3001.65000000,2879.00000000,2927.54000000,98910.40050000,1644623999999
1644624000000,2927.54000000,2959.65000000,2910.33000000,2934.20000000,45748.44730000,1644638399999
1644638400000,2934.20000000,2948.89000000,2880.01000000,2918.93000000,46437.50430000,1644652799999
1644652800000,2918.92000000,2943.01000000,2871.61000000,2931.09000000,49167.72980000,1644667199999
1644667200000,2931.08000000,2937.79000000,2858.30000000,2880.40000000,64466.55290000,1644681599999
1644681600000,2880.09000000,2978.32000000,2864.57000000,2952.51000000,66300.79200000,1644695999999
1644696000000,2952.50000000,2985.98000000,2866.06000000,2918.88000000,64129.28680000,1644710399999
1644710400000,2918.58000000,2946.66000000,2897.69000000,2918.72000000,27612.64070000,1644724799999
1644724800000,2918.72000000,2929.61000000,2899.71000000,2923.09000000,30362.49970000,1644739199999
1644739200000,2923.07000000,2946.00000000,2908.08000000,2931.38000000,31021.22650000,1644753599999
1644753600000,2931.38000000,2954.40000000,2909.73000000,2919.75000000,48708.28810000,1644767999999
1644768000000,2919.75000000,2922.29000000,2836.70000000,2856.97000000,67446.39970000,1644782399999
1644782400000,2856.96000000,2908.82000000,2847.58000000,2871.13000000,37600.30000000,1644796799999
1644796800000,2871.14000000,2893.70000000,2829.01000000,2865.64000000,46159.16280000,1644811199999
1644811200000,2865.65000000,2884.55000000,2844.29000000,2883.06000000,36251.12310000,1644825599999
1644825600000,2883.06000000,2890.06000000,2846.03000000,2874.39000000,46725.10990000,1644839999999
1644840000000,2874.39000000,2964.87000000,2856.85000000,2936.51000000,114086.27290000,1644854399999
1644854400000,2936.50000000,2964.97000000,2857.28000000,2879.64000000,94374.88900000,1644868799999
1644868800000,2879.63000000,2948.74000000,2866.43000000,2929.75000000,44181.68030000,1644883199999
1644883200000,2929.75000000,3037.82000000,2912.06000000,3025.12000000,96597.47180000,1644897599999
1644897600000,3025.12000000,3061.76000000,3007.40000000,3049.45000000,48882.11910000,1644911999999
1644912000000,3049.44000000,3117.36000000,3040.90000000,3094.84000000,97137.82990000,1644926399999
1644926400000,3094.82000000,3149.00000000,3088.08000000,3122.60000000,87606.28470000,1644940799999
